"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
2401000;"Powiat będziński";399,2;
2402000;"Powiat bielski";362,1;
2403000;"Powiat cieszyński";240,4;
2404000;"Powiat częstochowski";86,7;
2405000;"Powiat gliwicki";170,3;
2406000;"Powiat kłobucki";92,8;
2407000;"Powiat lubliniecki";91,4;
2408000;"Powiat mikołowski";427,8;
2409000;"Powiat myszkowski";142,0;
2410000;"Powiat pszczyński";235,4;
2411000;"Powiat raciborski";183,9;
2412000;"Powiat rybnicki";343,4;
2413000;"Powiat tarnogórski";216,1;
2414000;"Powiat bieruńsko-lędziński";376,7;
2415000;"Powiat wodzisławski";527,0;
2416000;"Powiat zawierciański";112,4;
2417000;"Powiat żywiecki";143,7;
2461000;"Powiat m. Bielsko-Biała";1340,0;
2462000;"Powiat m. Bytom";2152,8;
2463000;"Powiat m. Chorzów";3058,6;
2464000;"Powiat m. Częstochowa";1304,0;
2465000;"Powiat m. Dąbrowa Górnicza";608,1;
2466000;"Powiat m. Gliwice";1277,4;
2467000;"Powiat m. Jastrzębie-Zdrój";974,2;
2468000;"Powiat m. Jaworzno";574,5;
2469000;"Powiat m. Katowice";1700,9;
2470000;"Powiat m. Mysłowice";1091,0;
2471000;"Powiat m. Piekary Śląskie";1308,0;
2472000;"Powiat m. Ruda Śląska";1694,1;
2473000;"Powiat m. Rybnik";888,5;
2474000;"Powiat m. Siemianowice Śląskie";2504,6;
2475000;"Powiat m. Sosnowiec";2075,2;
2476000;"Powiat m. Świętochłowice";3443,2;
2477000;"Powiat m. Tychy";1504,8;
2478000;"Powiat m. Zabrze";1932,7;
2479000;"Powiat m. Żory";956,3;
