"Kod";"Nazwa";"ogółem;ogółem;2022;[osoba]";
2401000;"Powiat będziński";145429;
2402000;"Powiat bielski";165836;
2403000;"Powiat cieszyński";175579;
2404000;"Powiat częstochowski";132009;
2405000;"Powiat gliwicki";113223;
2406000;"Powiat kłobucki";82451;
2407000;"Powiat lubliniecki";75157;
2408000;"Powiat mikołowski";99602;
2409000;"Powiat myszkowski";68054;
2410000;"Powiat pszczyński";110958;
2411000;"Powiat raciborski";99974;
2412000;"Powiat rybnicki";76816;
2413000;"Powiat tarnogórski";139221;
2414000;"Powiat bieruńsko-lędziński";59568;
2415000;"Powiat wodzisławski";151133;
2416000;"Powiat zawierciański";112774;
2417000;"Powiat żywiecki";149439;
2461000;"Powiat m. Bielsko-Biała";166765;
2462000;"Powiat m. Bytom";149576;
2463000;"Powiat m. Chorzów";101914;
2464000;"Powiat m. Częstochowa";208282;
2465000;"Powiat m. Dąbrowa Górnicza";114765;
2466000;"Powiat m. Gliwice";171023;
2467000;"Powiat m. Jastrzębie-Zdrój";83139;
2468000;"Powiat m. Jaworzno";87552;
2469000;"Powiat m. Katowice";280190;
2470000;"Powiat m. Mysłowice";71643;
2471000;"Powiat m. Piekary Śląskie";52137;
2472000;"Powiat m. Ruda Śląska";131532;
2473000;"Powiat m. Rybnik";131744;
2474000;"Powiat m. Siemianowice Śląskie";63892;
2475000;"Powiat m. Sosnowiec";189178;
2476000;"Powiat m. Świętochłowice";45795;
2477000;"Powiat m. Tychy";123105;
2478000;"Powiat m. Zabrze";155430;
2479000;"Powiat m. Żory";61817;
