"Kod";"Nazwa";"ogółem;ogółem;2022;[szt.]";
2401000;"Powiat będziński";699;
2402000;"Powiat bielski";345;
2403000;"Powiat cieszyński";392;
2404000;"Powiat częstochowski";73;
2405000;"Powiat gliwicki";308;
2406000;"Powiat kłobucki";98;
2407000;"Powiat lubliniecki";150;
2408000;"Powiat mikołowski";292;
2409000;"Powiat myszkowski";63;
2410000;"Powiat pszczyński";207;
2411000;"Powiat raciborski";298;
2412000;"Powiat rybnicki";84;
2413000;"Powiat tarnogórski";528;
2414000;"Powiat bieruńsko-lędziński";86;
2415000;"Powiat wodzisławski";256;
2416000;"Powiat zawierciański";158;
2417000;"Powiat żywiecki";167;
2461000;"Powiat m. Bielsko-Biała";1273;
2462000;"Powiat m. Bytom";1295;
2463000;"Powiat m. Chorzów";847;
2464000;"Powiat m. Częstochowa";1486;
2465000;"Powiat m. Dąbrowa Górnicza";550;
2466000;"Powiat m. Gliwice";2028;
2467000;"Powiat m. Jastrzębie-Zdrój";278;
2468000;"Powiat m. Jaworzno";452;
2469000;"Powiat m. Katowice";248;
2470000;"Powiat m. Mysłowice";366;
2471000;"Powiat m. Piekary Śląskie";319;
2472000;"Powiat m. Ruda Śląska";764;
2473000;"Powiat m. Rybnik";498;
2474000;"Powiat m. Siemianowice Śląskie";405;
2475000;"Powiat m. Sosnowiec";1311;
2476000;"Powiat m. Świętochłowice";364;
2477000;"Powiat m. Tychy";744;
2478000;"Powiat m. Zabrze";1132;
2479000;"Powiat m. Żory";349;
