"Kod";"Nazwa";"obiekty sportowe ogółem;2022;[ob.]";
2401000;"Powiat będziński";125;
2402000;"Powiat bielski";139;
2403000;"Powiat cieszyński";134;
2404000;"Powiat częstochowski";163;
2405000;"Powiat gliwicki";130;
2406000;"Powiat kłobucki";91;
2407000;"Powiat lubliniecki";118;
2408000;"Powiat mikołowski";94;
2409000;"Powiat myszkowski";60;
2410000;"Powiat pszczyński";84;
2411000;"Powiat raciborski";115;
2412000;"Powiat rybnicki";85;
2413000;"Powiat tarnogórski";140;
2414000;"Powiat bieruńsko-lędziński";80;
2415000;"Powiat wodzisławski";145;
2416000;"Powiat zawierciański";107;
2417000;"Powiat żywiecki";113;
2461000;"Powiat m. Bielsko-Biała";41;
2462000;"Powiat m. Bytom";33;
2463000;"Powiat m. Chorzów";35;
2464000;"Powiat m. Częstochowa";67;
2465000;"Powiat m. Dąbrowa Górnicza";84;
2466000;"Powiat m. Gliwice";89;
2467000;"Powiat m. Jastrzębie-Zdrój";32;
2468000;"Powiat m. Jaworzno";36;
2469000;"Powiat m. Katowice";109;
2470000;"Powiat m. Mysłowice";38;
2471000;"Powiat m. Piekary Śląskie";27;
2472000;"Powiat m. Ruda Śląska";47;
2473000;"Powiat m. Rybnik";53;
2474000;"Powiat m. Siemianowice Śląskie";42;
2475000;"Powiat m. Sosnowiec";47;
2476000;"Powiat m. Świętochłowice";19;
2477000;"Powiat m. Tychy";37;
2478000;"Powiat m. Zabrze";93;
2479000;"Powiat m. Żory";12;
