"Kod";"Nazwa";"ogółem;2022;[zł]";
2401000;"Powiat będziński";5671,96;
2402000;"Powiat bielski";5875,70;
2403000;"Powiat cieszyński";5838,18;
2404000;"Powiat częstochowski";5774,96;
2405000;"Powiat gliwicki";6067,07;
2406000;"Powiat kłobucki";5132,42;
2407000;"Powiat lubliniecki";5685,44;
2408000;"Powiat mikołowski";5957,61;
2409000;"Powiat myszkowski";5629,12;
2410000;"Powiat pszczyński";5980,40;
2411000;"Powiat raciborski";6823,09;
2412000;"Powiat rybnicki";5660,84;
2413000;"Powiat tarnogórski";6218,12;
2414000;"Powiat bieruńsko-lędziński";5620,67;
2415000;"Powiat wodzisławski";5478,76;
2416000;"Powiat zawierciański";6438,58;
2417000;"Powiat żywiecki";6015,37;
2461000;"Powiat m. Bielsko-Biała";6434,35;
2462000;"Powiat m. Bytom";6303,49;
2463000;"Powiat m. Chorzów";5954,04;
2464000;"Powiat m. Częstochowa";6018,76;
2465000;"Powiat m. Dąbrowa Górnicza";7271,87;
2466000;"Powiat m. Gliwice";7469,70;
2467000;"Powiat m. Jastrzębie-Zdrój";0,00;
2468000;"Powiat m. Jaworzno";7568,06;
2469000;"Powiat m. Katowice";8017,49;
2470000;"Powiat m. Mysłowice";5754,97;
2471000;"Powiat m. Piekary Śląskie";6550,47;
2472000;"Powiat m. Ruda Śląska";6006,82;
2473000;"Powiat m. Rybnik";6135,40;
2474000;"Powiat m. Siemianowice Śląskie";5955,67;
2475000;"Powiat m. Sosnowiec";6126,60;
2476000;"Powiat m. Świętochłowice";5653,41;
2477000;"Powiat m. Tychy";6236,50;
2478000;"Powiat m. Zabrze";6511,57;
2479000;"Powiat m. Żory";5747,61;
