"Kod";"Nazwa";"ludność na 1 km2;2022;[osoba]";
2801000;"Powiat bartoszycki";40,7;
2802000;"Powiat braniewski";31,4;
2803000;"Powiat działdowski";64,9;
2804000;"Powiat elbląski";38,7;
2805000;"Powiat ełcki";79,6;
2806000;"Powiat giżycki";48,2;
2807000;"Powiat iławski";65,1;
2808000;"Powiat kętrzyński";47,6;
2809000;"Powiat lidzbarski";41,7;
2810000;"Powiat mrągowski";45,0;
2811000;"Powiat nidzicki";31,9;
2812000;"Powiat nowomiejski";60,8;
2813000;"Powiat olecki";36,9;
2814000;"Powiat olsztyński";45,6;
2815000;"Powiat ostródzki";56,5;
2816000;"Powiat piski";29,6;
2817000;"Powiat szczycieński";34,6;
2818000;"Powiat gołdapski";32,6;
2819000;"Powiat węgorzewski";30,4;
2861000;"Powiat m. Elbląg";1422,8;
2862000;"Powiat m. Olsztyn";1904,6;
