"Kod";"Nazwa";"ogółem;ogółem;2022;[osoba]";
2801000;"Powiat bartoszycki";53220;
2802000;"Powiat braniewski";37851;
2803000;"Powiat działdowski";61917;
2804000;"Powiat elbląski";54615;
2805000;"Powiat ełcki";88621;
2806000;"Powiat giżycki";54016;
2807000;"Powiat iławski";90218;
2808000;"Powiat kętrzyński";57792;
2809000;"Powiat lidzbarski";38539;
2810000;"Powiat mrągowski";47861;
2811000;"Powiat nidzicki";30666;
2812000;"Powiat nowomiejski";42209;
2813000;"Powiat olecki";32222;
2814000;"Powiat olsztyński";129555;
2815000;"Powiat ostródzki";99744;
2816000;"Powiat piski";52537;
2817000;"Powiat szczycieński";66859;
2818000;"Powiat gołdapski";25147;
2819000;"Powiat węgorzewski";21062;
2861000;"Powiat m. Elbląg";113567;
2862000;"Powiat m. Olsztyn";168212;
